# 読み監査の許容リスト(誤検知確定。tools/audit_plist_readings.py が読み、LLMレビューの除外指定にも使う)
# 教本表記・原語の慣用・意図的な両読み併記など「言語学的な正しさより優先する」読み。
# file	phrase	reading	reason
personnalités.plist	DAOKO	だをこ	personnalités、アーティスト特有の芸名表記。ヲ表記が本人流。だおこ ではない
ryukyu.plist	Q's瑞穂	くーすみずほ	ryukyu、Q's を沖縄の古酒=クースにかけた意図的読み
ryukyu.plist	アヲリ	あおり	ryukyu、現代かな読み
ryukyu.plist	古酒	くーす	vin+ryukyu、泡盛の沖縄読み。こしゅ 読みはryukyu側に併記済みの意図的両読み構成
ryukyu.plist	新城	しんじょう	vin、Châteauneuf-du-Pape=法王の新しい城 の説明語彙。地名しんしろ/沖縄姓あらぐすくではない
sacoche.plist	スヰートポーヅ	すいーとぽーづ	sacoche、ヰ=い の現代読み
vin-add.plist	Boerewors	ぷるゔぉす	教本準拠
vin-add.plist	Cules târziu	くれすたるぜぃう	教本準拠
vin-add.plist	Darling	だーりん	vin、南アフリカの産地。教本準拠でグ無し。豪Murray Darlingは だーりんぐ のままで別扱い
vin-add.plist	Diacetyl	だいあせちる	いずれもvin、教本準拠。せせる/こがねいろ/こうしゅ/じあせちる へ直さない
vin-add.plist	Duna-Tisza közi	どぅなてぃさくずぃ	教本準拠
vin-add.plist	Flaschengärung	ふらしぇんげーるんぐ	教本準拠
vin-add.plist	Geelong	じろんぐ	教本準拠
vin-add.plist	Givry	じぶり	教本準拠
vin-add.plist	Iode	いおど	仏語読み。ヨードではなくイオド
vin-add.plist	Kvalitetno vino s kontroliranim podrijetlom	くゔぁりててぅのゔぃーのさこんとぅろりらにむぽどぅりえとぅろむ	教本準拠(2026-08-12その2)
vin-add.plist	Pfingstberg	ぷふぃんぐすべるく	教本準拠
vin-add.plist	Pourriture grise	ぷりちゅーるぐりーす	教本準拠
vin-add.plist	Quetsche	けっちゅ	教本準拠
vin-add.plist	Rose Port	ろぜぽると	教本準拠
vin-add.plist	Seyssel	せいせる	いずれもvin、教本準拠。せせる/こがねいろ/こうしゅ/じあせちる へ直さない
vin-add.plist	Srednja I Južna Dalmacija	すれでぃにゃいゆじゅなだるまちあ	教本準拠(2026-08-13)
vin-add.plist	Stolno vino s kontroliranim podrijetlom	すとるのゔぃーのさこんとろりらにむぽどりえとろむ	いずれもvin、教本準拠。はくうんも/ふんじょう/とれいぞ/でじぇるの/らうれんつ/前置詞s=す へ直さない
vin-add.plist	Sud-Ouest	しゅっどうえすと	教本準拠(2026-08-12その2)
vin-add.plist	Tokaj-hegyalja	とかいへじゃいや	教本準拠
vin-add.plist	Treiso	とれいーぞ	いずれもvin、教本準拠。はくうんも/ふんじょう/とれいぞ/でじぇるの/らうれんつ/前置詞s=す へ直さない
vin-add.plist	Vrhunsko vino s kontroliranim podrijetlom	ゔるふんすこゔぃーのさこんとぅろりらにむぽどぅりえとぅろむ	いずれもvin、教本準拠。はくうんも/ふんじょう/とれいぞ/でじぇるの/らうれんつ/前置詞s=す へ直さない
